label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
7.13M,622762,7473152,143,12270.4,12335.6,12423.6,10188.4,10293.8,10666.9,8930.1,8960.7,8994.2,9339.9,9401.5,9424.1,2200,55.0
8.00M,699050,8388608,128,11822.7,12103.3,13637.3,10476.2,10814.3,12109.6,8849.2,8943.7,10009.8,9179.3,9249.3,10434.3,2200,55.0
8.98M,784640,9415680,114,11870.2,11891.7,11956.5,10586.3,10586.3,10746.2,8898.7,8924.8,9942.7,9089.1,9124.8,9912.7,2200,55.0
10.08M,880725,10568704,101,11783.2,11901.8,13093.6,10645.6,10676.4,12427.3,8904.8,8935.4,9833.3,9048.4,9080.0,9704.1,2200,55.0
11.31M,988586,11863040,90,11663.7,11771.3,12753.3,10714.3,10731.6,12437.7,8960.4,8994.4,9217.7,9063.2,9089.7,9224.5,2200,55.0
12.70M,1109674,13316096,80,11545.6,11592.3,13350.5,10693.4,10786.4,12176.1,8936.3,8966.4,9108.2,9009.8,9063.9,9945.1,2200,55.0
14.25M,1245525,14946304,71,11400.1,11545.0,13301.4,10760.3,10782.5,12565.5,8950.5,8971.0,10011.1,8981.3,9004.5,9412.8,2200,55.0
16.00M,1398101,16777216,64,11353.5,11495.3,11566.2,10745.0,10777.0,10932.8,8952.8,8981.3,8987.1,8981.3,9029.7,9054.1,2200,55.0
17.96M,1569280,18831360,57,11201.1,11392.5,12308.6,10759.4,10785.8,12540.2,8967.4,8980.6,8992.9,8865.7,8992.9,9049.5,2200,55.0
20.16M,1761536,21138432,50,11345.0,11524.1,11560.2,10748.7,10815.6,12189.6,8963.8,8991.1,10153.6,8995.6,9013.9,9595.3,2200,55.0
22.63M,1977173,23726080,45,11379.6,11470.1,11537.9,10754.2,10775.2,10789.2,8933.1,8977.4,9021.3,8990.4,9014.8,9055.8,2200,55.0
25.40M,2219349,26632192,40,11365.8,11418.1,11485.0,10728.9,10747.4,10792.6,8931.3,8958.5,8979.4,8916.3,8985.2,9039.7,2200,55.0
28.51M,2491136,29893632,35,11349.4,11447.4,11532.7,10726.1,10755.1,12294.3,8931.7,8974.5,9006.8,8955.9,8980.3,9015.2,2200,55.0
32.00M,2796202,33554432,32,11442.1,11560.5,11626.4,10729.0,10743.7,10870.7,8938.0,8962.5,8995.7,8979.0,8993.4,9019.9,2200,55.0
35.92M,3138645,37663744,28,11528.8,11727.8,11821.2,10730.1,10748.7,10818.2,8944.2,9019.3,9066.9,9018.8,9062.8,9345.9,2200,55.0
40.32M,3522986,42275840,25,11651.1,11816.5,12280.5,10724.1,10749.5,10790.7,8979.5,9006.4,9099.3,8924.8,9052.4,9117.1,2200,55.0
45.25M,3954432,47453184,22,11630.2,11817.7,12157.7,10734.5,10735.3,10808.8,9018.3,9042.0,9059.3,9031.8,9071.7,9092.4,2200,55.0
50.80M,4438698,53264384,20,11608.6,11684.2,12773.4,10721.9,10777.0,11355.4,9005.1,9023.3,9120.5,8415.8,9052.5,9095.6,2200,55.0
57.02M,4982272,59787264,17,11463.1,11674.4,11855.7,10697.3,10743.4,12652.5,8974.5,9000.3,9189.6,9006.8,9042.2,9058.8,2200,55.0
64.00M,5592405,67108864,16,11453.9,11596.9,11755.3,10700.2,10729.0,10749.9,8950.2,9015.0,9041.9,9004.0,9056.5,9942.2,2200,55.0
71.84M,6277290,75327488,14,11605.6,11805.3,11894.7,10714.2,10726.2,10799.4,8939.9,9019.1,9058.1,8615.7,9044.9,9088.6,2200,55.0
80.63M,7045973,84551680,12,11704.1,11789.9,11909.9,10716.3,10734.3,10779.8,9028.4,9047.7,9079.9,8478.0,9088.8,9145.7,2200,55.0
90.51M,7908864,94906368,11,11844.0,11956.1,12086.2,10682.2,10721.9,10756.7,9049.0,9058.5,9104.5,9034.2,9097.6,9137.1,2200,55.0
101.59M,8877397,106528768,10,11880.3,11908.4,13634.0,10702.3,10760.6,11159.7,8908.5,9060.0,9084.2,9047.7,9053.2,9115.1,2200,55.0
114.04M,9964544,119574528,8,11360.2,11733.4,12005.1,10704.5,10724.4,10743.4,8319.9,8760.7,9109.0,8368.3,8868.5,9112.6,2200,55.0
128.00M,11184810,134217728,8,11328.1,11730.3,12187.4,10726.5,10756.0,11536.7,8970.6,9026.1,9057.8,8585.5,9060.1,9090.8,2200,55.0
143.67M,12554496,150653952,7,11502.0,11674.7,11704.6,10642.7,10679.1,10744.2,8562.4,8983.0,9044.9,8803.5,9016.8,9039.1,2200,55.0
161.27M,14091946,169103360,6,11104.7,11547.2,12693.9,10619.3,10688.7,10704.2,8231.3,9013.1,9066.8,8295.5,8902.5,9029.0,2200,55.0
181.02M,15817728,189812736,5,11568.1,11727.8,11932.4,10662.4,10705.7,10814.7,8947.0,9038.7,9073.2,8766.9,9051.2,9104.2,2200,55.0
