label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
228.07M,19929088,239149056,5,12981.1,13845.5,13962.3,5826.8,5829.1,5836.8,8211.1,8268.8,8383.5,8258.8,8361.0,8629.2,2200,55.0
256.00M,22369621,268435456,5,12733.5,13703.6,13924.2,5821.6,5827.3,5833.6,8196.5,8259.3,8367.1,8273.6,8423.4,8503.1,2200,55.0
287.35M,25109077,301308928,5,12380.4,13713.4,13922.5,5827.0,5827.4,5833.1,8167.3,8323.4,8459.5,8180.6,8244.0,8502.0,2200,55.0
322.54M,28183978,338207744,5,11462.7,13664.8,13873.4,5826.0,5831.0,5832.8,8185.4,8273.2,8408.5,8060.8,8145.9,8371.9,2200,55.0
362.04M,31635456,379625472,5,13237.3,13435.5,13536.7,5822.1,5826.5,5830.4,8307.6,8381.6,8510.6,8313.3,8421.9,8552.2,2200,55.0
406.38M,35509589,426115072,5,13061.6,13247.3,13658.2,5828.1,5830.4,5833.2,8204.3,8405.8,8465.4,8216.5,8267.3,8292.0,2200,55.0
456.14M,39858176,478298112,5,12478.6,13510.6,14097.8,5823.6,5826.1,5834.0,8181.9,8271.1,8339.3,8206.6,8281.2,8510.1,2200,55.0
512.00M,44739242,536870912,5,12431.9,13007.1,14341.3,5828.8,5829.6,5831.7,8230.1,8271.3,8409.6,8237.5,8269.2,8537.9,2200,56.0
574.70M,50218069,602616832,5,12138.0,12636.7,14002.0,5826.5,5828.3,5830.4,8198.2,8261.8,8445.4,8213.8,8241.1,8429.5,2200,55.0
645.08M,56367872,676414464,5,12349.9,13578.6,14577.1,5826.6,5829.3,5831.2,8178.7,8245.1,8402.7,8128.6,8272.0,8373.8,2200,55.0
724.08M,63270826,759249920,5,12614.2,13347.6,14000.7,5827.1,5828.3,5830.7,8094.1,8196.7,8218.2,8052.1,8183.6,8403.5,2200,56.0
812.75M,71019093,852229120,5,12259.2,13163.5,13692.7,5824.5,5827.9,5828.8,8171.4,8262.3,8380.6,8215.3,8267.0,8462.0,2200,55.0
912.28M,79716266,956595200,5,12121.6,13172.7,13268.1,5820.2,5828.1,5830.3,8098.0,8144.8,8384.6,8075.5,8145.0,8407.8,2200,55.0
1.00G,89478485,1073741824,5,12341.0,12710.0,13424.1,5827.8,5830.9,5831.1,8172.5,8266.4,8435.5,8209.2,8237.4,8464.2,2200,55.0
1.12G,100436224,1205234688,5,12015.5,12720.9,13245.8,5820.4,5827.8,5830.8,8051.9,8108.4,8145.5,8025.2,8089.0,8170.8,2200,55.0
1.26G,112735829,1352829952,5,12482.8,12589.6,12663.6,5828.4,5828.9,5829.9,8233.3,8327.6,8506.0,8263.6,8347.7,8458.8,2200,55.0
1.41G,126541653,1518499840,5,12553.0,13395.2,13555.0,5825.5,5827.5,5830.5,8180.2,8290.6,8395.8,8066.4,8200.0,8338.6,2200,56.0
1.59G,142038272,1704459264,5,12784.1,13137.7,13637.7,5826.2,5826.9,5828.9,8246.1,8377.5,8418.0,8277.3,8293.9,8410.1,2200,55.0
1.78G,159432533,1913190400,5,12352.5,12481.1,13473.8,5828.1,5828.8,5829.8,8206.0,8335.8,8363.1,8224.0,8415.8,8536.7,2200,55.0
2.00G,178956970,2147483648,5,12635.4,13143.9,13483.5,5824.1,5827.5,5829.4,8102.2,8316.3,8336.8,8093.5,8340.9,8416.3,2200,55.0
