label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
57.02M,2491136,59787264,5,11706.3,13154.2,13375.3,11388.1,11503.3,11587.0,9303.8,10412.6,10446.8,9476.5,9520.0,10414.3,2,54.0
60.41M,2639274,63342592,5,12579.5,13296.2,13351.3,11503.5,11537.9,11550.7,9424.5,10367.1,10466.4,9389.9,10333.2,10452.4,2,54.0
64.00M,2796202,67108864,5,10299.1,13193.4,13525.3,11518.6,11527.1,11545.6,9421.4,9436.3,10444.7,9489.4,10383.8,10438.5,2,54.0
67.81M,2962474,71099392,5,13446.6,13620.7,13628.2,11493.8,11535.8,11578.1,10417.2,10443.4,10470.9,10423.7,10468.0,10486.4,2,54.0
71.84M,3138645,75327488,5,10497.4,13590.8,13690.7,11518.1,11523.1,11536.4,9434.9,10335.9,10424.5,9437.2,9438.3,10523.5,2,54.0
76.11M,3325269,79806464,5,13066.0,13740.2,13780.1,11518.3,11548.7,11576.2,9415.6,10527.2,10557.7,9499.7,10534.1,10594.1,2,54.0
80.63M,3522986,84551680,5,13632.2,13913.8,14152.0,11496.4,11527.2,11529.5,10499.3,10534.9,10565.0,9954.4,10557.1,10631.5,2,54.0
85.43M,3732480,89579520,5,12926.1,13992.7,14045.2,11513.3,11529.2,11542.4,9391.9,10488.3,10567.4,9538.8,10599.9,10617.3,2,54.0
90.51M,3954432,94906368,5,13854.2,14053.8,14145.2,11522.6,11539.7,11564.8,10485.6,10556.8,10573.4,10540.6,10610.0,10667.2,2,54.0
95.89M,4189568,100549632,5,14064.9,14163.4,14199.1,11521.4,11535.6,11539.4,10520.0,10569.8,10589.7,10608.9,10622.0,10623.3,2,54.0
101.59M,4438698,106528768,5,14090.6,14111.3,14260.6,11521.5,11555.4,11587.3,10505.9,10531.9,10537.1,10560.0,10578.7,10627.3,2,54.0
107.63M,4702634,112863232,5,13998.2,14026.8,14146.2,11538.5,11543.9,11564.7,10476.5,10520.5,10538.1,10579.6,10594.5,10624.4,2,54.0
114.04M,4982272,119574528,5,12922.4,13402.1,14129.3,11499.7,11541.4,11557.8,9407.1,10502.6,10581.7,9563.6,10610.8,10612.0,2,54.0
120.82M,5278506,126684160,5,13380.0,14168.2,14198.9,11522.1,11558.2,11574.0,10488.8,10488.8,10536.0,9527.9,10522.9,10564.9,2,54.0
128.00M,5592405,134217728,5,12973.6,14164.4,14169.2,11507.0,11525.0,11553.0,10077.2,10489.1,10510.4,10546.9,10565.1,10567.5,2,54.0
135.61M,5924949,142198784,5,13573.8,14042.1,14329.0,11524.5,11527.1,11530.1,9430.2,10466.5,10558.2,10554.3,10556.6,10625.4,2,54.0
