label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
16K,682,16384,300,,,,11442.1,11442.1,11442.1,,,,17163.1,17163.1,17163.1,2,55.0
17K,725,17408,300,,,,12163.5,12163.5,12163.5,,,,18245.2,18245.2,18245.2,2,55.0
18K,768,18432,284,,,,12884.9,12884.9,12884.9,19327.4,19327.4,19327.4,19327.4,19327.4,19327.4,2,55.0
19K,810,19456,269,,,,13589.5,13589.5,13589.5,20384.3,20384.3,20384.3,20384.3,20384.3,20384.3,2,55.0
20K,853,20480,256,,,,14311.0,14311.0,14311.0,21466.4,21466.4,21466.4,21466.4,21466.4,21466.4,2,55.0
21K,896,21504,243,,,,15032.4,15032.4,15032.4,22548.6,22548.6,22548.6,22548.6,22548.6,22548.6,2,55.0
23K,981,23552,222,,,,16458.4,16458.4,16458.4,24687.7,24687.7,24687.7,24687.7,24687.7,24687.7,2,55.0
24K,1024,24576,213,,,,17179.9,17179.9,17179.9,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,2,55.0
25K,1066,25600,204,,,,17884.5,17884.5,17884.5,26826.8,26826.8,26826.8,26826.8,26826.8,26826.8,2,55.0
27K,1152,27648,189,,,,19327.4,19327.4,19327.4,28991.0,28991.0,28991.0,28991.0,28991.0,28991.0,2,55.0
29K,1237,29696,176,,,,20753.4,20753.4,20753.4,31130.1,31130.1,31130.1,31130.1,31130.1,31130.1,2,55.0
30K,1280,30720,170,,,,21474.8,21474.8,21474.8,32212.3,32212.3,32212.3,32212.3,32212.3,32212.3,2,55.0
32K,1365,32768,160,,,,22900.9,22900.9,22900.9,34351.3,34351.3,34351.3,34351.3,34351.3,34351.3,2,55.0
34K,1450,34816,150,,,,12163.5,12163.5,12163.5,36490.4,36490.4,36490.4,18245.2,18245.2,18245.2,2,55.0
36K,1536,36864,142,,,,12884.9,12884.9,12884.9,38654.7,38654.7,38654.7,19327.4,19327.4,19327.4,2,55.0
38K,1621,38912,134,,,,13597.9,13597.9,13597.9,20396.9,20396.9,20396.9,20396.9,20396.9,20396.9,2,55.0
40K,1706,40960,128,,,,14311.0,14311.0,14311.0,21466.4,21466.4,21466.4,21466.4,21466.4,21466.4,2,55.0
43K,1834,44032,119,,,,15384.7,15384.7,15384.7,23077.1,23077.1,23077.1,23077.1,23077.1,23077.1,2,55.0
45K,1920,46080,113,,,,16106.1,16106.1,16106.1,24159.2,24159.2,24159.2,24159.2,24159.2,24159.2,2,55.0
48K,2048,49152,106,34359.7,34359.7,34359.7,17179.9,17179.9,17179.9,25769.8,25769.8,25769.8,25769.8,25769.8,25769.8,2,55.0
51K,2176,52224,100,36507.2,36507.2,36507.2,12169.1,12169.1,12169.1,27380.4,27380.4,27380.4,18253.6,18253.6,18253.6,2,55.0
54K,2304,55296,94,38654.7,38654.7,38654.7,12884.9,12884.9,12884.9,28991.0,28991.0,28991.0,19327.4,19327.4,19327.4,2,55.0
57K,2432,58368,89,40802.2,40802.2,40802.2,13600.7,13600.7,13600.7,20401.1,20401.1,20401.1,20401.1,20401.1,20401.1,2,55.0
60K,2560,61440,85,42949.7,42949.7,42949.7,14316.6,14316.6,14316.6,21474.8,21474.8,21474.8,21474.8,21474.8,21474.8,2,55.0
64K,2730,65536,80,45801.8,45801.8,45801.8,15267.3,15267.3,15267.3,22900.9,22900.9,22900.9,22900.9,22900.9,22900.9,2,55.0
