label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
256K,10922,262144,20,25274.6,25274.6,25274.6,11634.3,11634.3,11822.0,19989.9,20360.1,20360.1,17451.5,17733.0,17733.0,2,55.0
271K,11562,277504,18,26755.6,26755.6,26755.6,11580.8,11580.8,12316.1,20066.7,20066.7,20066.7,17371.2,17371.2,18474.1,2,55.0
287K,12245,293888,17,28336.1,28336.1,28336.1,12264.9,12264.9,12264.9,19565.4,19565.4,19881.0,18397.3,18397.3,18397.3,2,55.0
304K,12970,311296,16,26375.8,26375.8,26375.8,12259.2,12259.2,12259.2,19486.6,19486.6,19486.6,17408.0,18133.4,18388.8,2,55.0
323K,13781,330752,15,28025.1,28025.1,28025.1,11706.7,11706.7,11706.7,19538.6,19538.6,19538.6,17560.0,17560.0,17560.0,2,55.0
342K,14592,350208,14,26466.3,26466.3,26466.3,11798.2,11798.2,11798.2,19585.1,19585.1,19585.1,17697.3,17697.3,17697.3,2,55.0
362K,15445,370688,14,24678.5,24678.5,27276.2,11778.4,11778.4,11778.4,19680.3,19680.3,19680.3,17667.6,17667.6,17667.6,2,55.0
384K,16384,393216,13,26178.8,26178.8,26817.4,11951.2,11951.2,11951.2,18741.7,19634.1,19870.7,17926.8,17926.8,17926.8,2,55.0
406K,17322,415744,12,25270.9,25270.9,25270.9,11624.6,12109.0,12109.0,18953.1,19814.7,19814.7,17436.9,18163.4,18163.4,2,55.0
431K,18389,441344,11,24681.3,26827.5,26827.5,11866.0,11866.0,11866.0,19282.3,19282.3,19282.3,17629.5,17629.5,17799.0,2,55.0
456K,19456,466944,11,26113.4,26113.4,26113.4,11978.6,11978.6,11978.6,19585.1,19585.1,19585.1,17967.9,17967.9,17967.9,2,55.0
483K,20608,494592,10,25610.7,25610.7,25610.7,11820.3,11820.3,11820.3,19031.8,19031.8,19031.8,17730.5,17730.5,17730.5,2,55.0
512K,21845,524288,10,25275.7,27148.0,27148.0,11727.9,12016.3,12115.6,19460.1,19460.1,19460.1,17452.3,17591.9,17591.9,2,55.0
542K,23125,555008,9,26303.3,26303.3,26756.8,11937.6,11937.6,11937.6,19238.3,19238.3,19238.3,17906.5,17906.5,17906.5,2,55.0
575K,24533,588800,8,24572.9,26133.0,26133.0,11930.3,11930.3,11930.3,18996.7,18996.7,19756.6,17766.7,17766.7,17895.5,2,55.0
609K,25984,623616,8,26026.2,26026.2,26026.2,11862.3,11862.3,11943.5,19375.1,19519.7,19519.7,17915.3,17915.3,17915.3,2,55.0
645K,27520,660480,7,24300.5,25650.5,26011.8,11915.1,11915.1,11915.1,19372.4,19372.4,19372.4,17872.6,17872.6,17872.6,2,55.0
683K,29141,699392,7,26074.9,26074.9,26074.9,11640.6,11997.7,11997.7,18925.3,18925.3,19426.7,17460.9,17565.4,17886.8,2,55.0
724K,30890,741376,7,24975.8,25912.4,26240.4,11778.4,11778.4,11778.4,19076.6,19076.6,19556.5,17567.7,17567.7,17667.6,2,55.0
767K,32725,785408,6,24956.1,24956.1,24956.1,11681.6,11871.0,11935.5,18717.1,19152.4,19152.4,17429.7,17429.7,17522.4,2,55.0
813K,34688,832512,6,25303.0,25303.0,25303.0,11816.6,11816.6,11816.6,18977.2,19291.8,19291.8,17372.2,17724.9,17724.9,2,54.0
861K,36736,881664,5,24653.1,25680.3,25680.3,11739.6,11795.7,11795.7,18771.4,18771.4,19160.4,16963.2,17609.4,17609.4,2,55.0
912K,38912,933888,5,25109.0,25109.0,25109.0,11762.8,11762.8,11762.8,19014.6,19107.4,19487.6,17331.9,17565.1,17644.2,2,55.0
967K,41258,990208,5,25401.6,25401.6,25401.6,11832.4,11832.4,11832.4,18964.2,19051.2,19407.3,17377.3,17673.0,17673.0,2,55.0
1.00M,43690,1048576,5,24847.3,25059.7,25946.8,11634.9,11822.5,11870.4,19038.9,19038.9,19121.6,17247.0,17521.8,17805.6,2,55.0
1.06M,46293,1111040,5,24656.1,25464.5,25675.0,11767.7,11767.7,11767.7,18866.4,19098.4,19177.0,17388.1,17651.5,17651.5,2,55.0
1.12M,49024,1176576,5,25307.3,25307.3,25307.3,11708.0,11708.0,11708.0,18692.9,18980.5,19277.0,17315.5,17562.0,17562.0,2,55.0
1.19M,51968,1247232,5,25090.0,25271.8,25271.8,11703.1,11742.5,11742.5,18953.9,19162.2,19162.2,17554.6,17554.6,17554.6,2,55.0
1.26M,55040,1320960,5,25127.0,25127.0,25127.0,11763.3,11763.3,11763.3,18909.6,19105.2,19171.3,17423.0,17588.9,17644.9,2,55.0
1.33M,58325,1399808,5,24617.1,24617.1,25252.4,11684.0,11825.1,11825.1,18878.4,18939.3,19186.9,17525.9,17525.9,17737.7,2,55.0
1.41M,61781,1482752,5,23557.1,23557.1,24105.0,11646.2,11778.6,11778.6,17667.8,17870.9,18509.2,17038.6,17227.4,17469.3,2,55.0
