label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
64K,2730,65536,80,45801.8,45801.8,45801.8,15267.3,15267.3,15267.3,22900.9,22900.9,22900.9,22900.9,22900.9,22900.9,2,54.0
68K,2901,69632,75,48670.7,48670.7,48670.7,12167.7,12167.7,12167.7,24335.4,24335.4,24335.4,18251.5,18251.5,18251.5,2,54.0
72K,3072,73728,71,51539.6,51539.6,51539.6,12884.9,12884.9,12884.9,23787.5,23787.5,25769.8,19327.4,19327.4,19327.4,2,54.0
76K,3242,77824,67,27195.9,27195.9,54391.7,12798.1,13597.9,13597.9,20396.9,20396.9,20396.9,20396.9,20396.9,20396.9,2,54.0
81K,3456,82944,63,28991.0,28991.0,28991.0,14495.5,14495.5,14495.5,21743.3,21743.3,21743.3,21743.3,21743.3,21743.3,2,53.0
85K,3626,87040,60,30417.1,30417.1,30417.1,12166.8,12166.8,12166.8,22812.8,22812.8,22812.8,17381.2,17381.2,18250.3,2,53.0
91K,3882,93184,56,32564.6,32564.6,32564.6,12405.6,13025.8,13025.8,19538.7,19538.7,22986.8,18608.3,19538.7,19538.7,2,54.0
96K,4096,98304,53,34359.7,34359.7,34359.7,13089.4,13743.9,13743.9,19634.1,19634.1,20615.8,19634.1,19634.1,20615.8,2,54.0
102K,4352,104448,50,32450.9,36507.2,36507.2,11682.3,11682.3,11682.3,20861.3,21904.3,21904.3,17523.5,17523.5,17523.5,2,54.0
108K,4608,110592,47,25769.8,25769.8,25769.8,12369.5,12369.5,12369.5,18554.3,22088.4,23192.8,18554.3,18554.3,18554.3,2,54.0
114K,4864,116736,44,27201.5,27201.5,27201.5,13056.7,13056.7,13056.7,19585.1,19585.1,19585.1,19585.1,19585.1,19585.1,2,54.0
121K,5162,123904,42,28868.0,28868.0,28868.0,11945.4,11945.4,11945.4,20785.0,20785.0,20785.0,17918.1,17918.1,17918.1,2,54.0
128K,5461,131072,40,30540.1,30540.1,30540.1,12637.3,12637.3,12637.3,18955.9,18955.9,21988.9,18955.9,18955.9,18955.9,2,53.0
136K,5802,139264,37,32447.1,32447.1,32447.1,11799.0,11799.0,11799.0,20139.6,20139.6,20139.6,17698.4,17698.4,17698.4,2,53.0
144K,6144,147456,35,25769.8,25769.8,31716.7,12494.5,12494.5,12494.5,21326.7,21326.7,21326.7,18741.7,18741.7,18741.7,2,53.0
152K,6485,155648,33,27200.1,27200.1,27200.1,12800.0,13187.9,13187.9,19781.9,19781.9,19781.9,17179.0,17643.3,17643.3,2,53.0
161K,6869,164864,31,28810.7,28810.7,28810.7,12458.7,12458.7,12458.7,20953.2,20953.2,20953.2,18688.0,18688.0,18688.0,2,54.0
171K,7296,175104,29,30601.6,30601.6,30601.6,11657.8,11942.1,11942.1,19849.7,19849.7,19849.7,17486.7,17486.7,17913.2,2,53.0
181K,7722,185344,28,24676.9,25910.7,25910.7,12338.4,12338.4,12639.4,20455.8,20455.8,21008.7,18507.7,18507.7,18959.1,2,54.0
192K,8192,196608,26,26178.8,26178.8,26178.8,11951.2,11951.2,11951.2,19634.1,19634.1,20113.0,17926.8,17926.8,17926.8,2,54.0
203K,8661,207872,25,27677.6,27677.6,29061.5,11624.6,11624.6,12635.4,18953.1,18953.1,18953.1,17436.9,17436.9,18953.1,2,54.0
215K,9173,220160,23,24623.6,29313.8,29313.8,12311.8,12311.8,12311.8,20073.6,20073.6,20073.6,18467.7,18467.7,18467.7,2,54.0
228K,9728,233472,22,26113.4,26113.4,26113.4,12089.5,12089.5,12089.5,19585.1,19585.1,19585.1,18134.3,18134.3,18134.3,2,54.0
242K,10325,247808,21,27716.0,27716.0,27716.0,11946.5,11946.5,11946.5,19247.2,19247.2,19247.2,17616.1,17919.8,17919.8,2,54.0
256K,10922,262144,20,25274.6,25274.6,25274.6,11634.3,11634.3,11822.0,20360.1,20360.1,20360.1,17733.0,17733.0,17733.0,2,54.0
271K,11562,277504,18,26755.6,26755.6,26755.6,12316.1,12316.1,12316.1,20066.7,20066.7,20066.7,18474.1,18474.1,18474.1,2,54.0
287K,12245,293888,17,27391.6,28336.1,28336.1,12264.9,12264.9,12264.9,19565.4,19881.0,19881.0,18397.3,18397.3,18397.3,2,54.0
